Type,Full Name,Short Name,Web Site,State Assigned ID
City,CITY OF ADELANTO,Adelanto,http://www.ci.adelanto.ca.us,1128
City,CITY OF AGOURA HILLS,Agoura Hills,http://www.ci.agoura-hills.ca.us,1129
City,CITY OF ALAMEDA,Alameda,http://www.ci.alameda.ca.us/,1130
City,CITY OF ALBANY,Albany,http://www.albanyca.org/,1131
City,CITY OF ALHAMBRA,Alhambra,http://www.cityofalhambra.org/,1132
City,CITY OF ALISO VIEJO,Aliso Viejo,http://www.cityofalisoviejo.com,8635
City,CITY OF ALTURAS,Alturas,http://www.cityofalturas.org/,1133
City,CITY OF AMADOR CITY,Amador City,,1134
City,CITY OF AMERICAN CANYON,American Canyon,http://www.ci.american-canyon.ca.us,1135
City,CITY OF ANAHEIM,Anaheim,http://www.anaheim.net,1136
City,CITY OF ANDERSON,Anderson,http://ci.anderson.ca.us,1137
City,CITY OF ANGELS CITY,Angels City,http://www.ci.angels-camp.ca.us/,1138
City,CITY OF ANTIOCH,Antioch,http://www.ci.antioch.ca.us,1139
City,CITY OF ARCADIA,Arcadia,http://www.ci.arcadia.ca.us/,1141
City,CITY OF ARCATA,Arcata,http://arcatacityhall.org,1142
City,CITY OF ARROYO GRANDE,Arroyo Grande,http://www.arroyogrande.org,1143
City,CITY OF ARTESIA,Artesia,http://www.cityofartesia.us/,1144
City,CITY OF ARVIN,Arvin,http://www.arvin.org/,1145
City,CITY OF ATASCADERO,Atascadero,http://www.atascadero.org,1146
City,CITY OF ATWATER,Atwater,http://www.atwater.org/,1148
City,CITY OF AUBURN,Auburn,http://www.auburn.ca.gov,1149
City,CITY OF AVALON,Avalon,http://www.cityofavalon.com,1150
City,CITY OF AVENAL,Avenal,,1151
City,CITY OF AZUSA,Azusa,http://www.ci.azusa.ca.us/,1152
City,CITY OF BAKERSFIELD,Bakersfield,http://www.ci.bakersfield.ca.us,1153
City,CITY OF BALDWIN PARK,Baldwin Park,http://www.baldwinpark.com,1154
City,CITY OF BANNING,Banning,http://www.ci.banning.ca.us/,1155
City,CITY OF BARSTOW,Barstow,http://www.barstowca.org/,1156
City,CITY OF BEAUMONT,Beaumont,http://www.ci.beaumont.ca.us,1157
City,CITY OF BELL,Bell,http://www.cityofbell.org/,1158
City,CITY OF BELL GARDENS,Bell Gardens,http://www.bellgardens.org,1159
City,CITY OF BELLFLOWER,Bellflower,http://www.bellflower.org,1160
City,CITY OF BELMONT,Belmont,http://www.belmont.gov,1161
City,CITY OF BELVEDERE,Belvedere,http://www.cityofbelvedere.org/,1162
City,CITY OF BENICIA,Benicia,http://www.ci.benicia.ca.us,1163
City,CITY OF BERKELEY,Berkeley,http://www.ci.berkeley.ca.us/default.asp,1164
City,CITY OF BEVERLY HILLS,Beverly Hills,http://www.ci.beverly-hills.ca.us,1165
City,CITY OF BIG BEAR LAKE,Big Bear Lake,http://www.citybigbearlake.com,1166
City,CITY OF BIGGS,Biggs,http://www.biggs-ca.gov/,1167
City,CITY OF BISHOP,Bishop,http://www.ca-bishop.us/,1168
City,CITY OF BLUE LAKE,Blue Lake,http://bluelake.ca.gov/,1169
City,CITY OF BLYTHE,Blythe,http://www.cityofblythe.ca.gov/,1170
City,CITY OF BRADBURY,Bradbury,http://www.cityofbradbury.org/,1171
City,CITY OF BRAWLEY,Brawley,http://www.cityofbrawley.com/,1172
City,CITY OF BREA,Brea,http://www.ci.brea.ca.us,1173
City,CITY OF BRENTWOOD,Brentwood,http://www.ci.brentwood.ca.us,1174
City,CITY OF BRISBANE,Brisbane,http://www.ci.brisbane.ca.us,1175
City,CITY OF BUELLTON,Buellton,http://www.buellton.org,1176
City,CITY OF BUENA PARK,Buena Park,http://www.buenapark.com/,1177
City,CITY OF BURBANK,Burbank,http://www.ci.burbank.ca.us,1178
City,CITY OF BURLINGAME,Burlingame,http://www.burlingame.org,1179
City,CITY OF CALABASAS,Calabasas,http://www.ci.calabasas.ca.us,1180
City,CITY OF CALEXICO,Calexico,http://www.calexico.ca.gov/,1181
City,CITY OF CALIFORNIA CITY,California City,http://californiacity-ca.us/,1182
City,CITY OF CALIMESA,Calimesa,http://www.cityofcalimesa.net/,1183
City,CITY OF CALIPATRIA,Calipatria,http://www.calipatria.com/,1184
City,CITY OF CALISTOGA,Calistoga,http://www.ci.calistoga.ca.us,1185
City,CITY OF CAMARILLO,Camarillo,http://www.ci.camarillo.ca.us,1186
City,CITY OF CAMPBELL,Campbell,http://www.ci.campbell.ca.us,1187
City,CITY OF CANYON LAKE,Canyon Lake,http://www.cityofcanyonlake.com/,1188
City,CITY OF CAPITOLA,Capitola,http://www.ci.capitola.ca.us,1189
City,CITY OF CARLSBAD,Carlsbad,http://www.ci.carlsbad.ca.us,1190
City,CITY OF CARMEL BY THE SEA,Carmel By The Sea,http://www.carmelcalifornia.com,1191
City,CITY OF CARPINTERIA,Carpinteria,http://www.ci.carpinteria.ca.us,1192
City,CITY OF CARSON,Carson,http://ci.carson.ca.us,1193
City,CITY OF CATHEDRAL,Cathedral,http://www.cathedralcity.gov/,1194
City,CITY OF CERES,Ceres,http://www.ci.ceres.ca.us,1195
City,CITY OF CERRITOS,Cerritos,http://www.ci.cerritos.ca.us,1196
City,CITY OF CHICO,Chico,http://www.ci.chico.ca.us,1197
City,CITY OF CHINO,Chino,http://cityofchino.org,1198
City,CITY OF CHINO HILLS,Chino Hills,http://www.chinohills.org,1199
City,CITY OF CHOWCHILLA,Chowchilla,http://www.ci.chowchilla.ca.us,1200
City,CITY OF CHULA VISTA,Chula Vista,http://www.ci.chula-vista.ca.us,1201
City,CITY OF CITRUS HEIGHTS,Citrus Heights,http://www.ci.citrus-heights.ca.us,1202
City,CITY OF CLAREMONT,Claremont,http://www.ci.claremont.ca.us,1203
City,CITY OF CLAYTON,Clayton,http://www.ci.clayton.ca.us,1204
City,CITY OF CLEARLAKE,Clearlake,http://www.clearlake.ca.us,1205
City,CITY OF CLOVERDALE,Cloverdale,http://www.cloverdale.net/,1206
City,CITY OF CLOVIS,Clovis,http://www.ci.clovis.ca.us,1207
City,CITY OF COACHELLA,Coachella,http://www.coachella.org/,1208
City,CITY OF COALINGA,Coalinga,http://www.coalinga.com,1209
City,CITY OF COLFAX,Colfax,http://www.colfax-ca.gov/,1210
City,CITY OF COLTON,Colton,http://www.ci.colton.ca.us,1212
City,CITY OF COLUSA,Colusa,http://www.cityofcolusa.com/,1213
City,CITY OF COMMERCE,Commerce,http://www.ci.commerce.ca.us/,1214
City,CITY OF COMPTON,Compton,http://www.comptoncity.org/,1215
City,CITY OF CONCORD,Concord,http://www.ci.concord.ca.us,1216
City,CITY OF CORCORAN,Corcoran,http://www.cityofcorcoran.com/,1217
City,CITY OF CORNING,Corning,http://www.corning.org,1218
City,CITY OF CORONA,Corona,http://www.ci.corona.ca.us,1219
City,CITY OF CORONADO,Coronado,http://www.coronado.ca.us,1220
City,CITY OF COSTA MESA,Costa Mesa,http://costamesaca.gov/,1222
City,CITY OF COTATI,Cotati,http://www.ci.cotati.ca.us,1223
City,CITY OF COVINA,Covina,http://www.ci.covina.ca.us,1224
City,CITY OF CRESCENT CITY,Crescent City,http://www.crescentcity.org/,1225
City,CITY OF CUDAHY,Cudahy,http://www.cudahy.ca.us/,1226
City,CITY OF CULVER CITY,Culver City,http://www.ci.culver-city.ca.us/,1227
City,CITY OF CUPERTINO,Cupertino,http://www.cupertino.org,1228
City,CITY OF CYPRESS,Cypress,http://www.ci.cypress.ca.us,1229
City,CITY OF DALY CITY,Daly City,http://www.ci.daly-city.ca.us/,1230
City,CITY OF DANA POINT,Dana Point,http://www.danapoint.org/,1231
City,CITY OF DAVIS,Davis,http://www.city.davis.ca.us,1233
City,CITY OF DEL MAR,Del Mar,http://www.delmar.ca.us,1234
City,CITY OF DEL REY OAKS,Del Rey Oaks,http://www.delreyoaks.org/,1235
City,CITY OF DELANO,Delano,http://www.delano-ca.org/,1236
City,CITY OF DESERT HOT SPRINGS,Desert Hot Springs,http://www.deserthotsprings.com,1237
City,CITY OF DIAMOND BAR,Diamond Bar,http://www.ci.diamond-bar.ca.us,1238
City,CITY OF DINUBA,Dinuba,http://www.dinuba.org/,1239
City,CITY OF DIXON,Dixon,http://www.ci.dixon.ca.us,1240
City,CITY OF DORRIS,Dorris,,1241
City,CITY OF DOS PALOS,Dos Palos,http://www.dpol.k12.ca.us/community/city/city.htm,1242
City,CITY OF DOWNEY,Downey,http://www.downeyca.org/,1243
City,CITY OF DUARTE,Duarte,http://www.accessduarte.com/,1244
City,CITY OF DUBLIN,Dublin,http://www.dublinca.org,1245
City,CITY OF DUNSMUIR,Dunsmuir,http://ci.dunsmuir.ca.us/,1246
City,CITY OF EAST PALO ALTO,East Palo Alto,http://www.ci.east-palo-alto.ca.us,1247
City,CITY OF EASTVALE,Eastvale,http://www.eastvalecity.org/,10783
City,CITY OF EL CAJON,El Cajon,http://www.ci.el-cajon.ca.us,1248
City,CITY OF EL CENTRO,El Centro,http://www.cityofelcentro.org/,1249
City,CITY OF EL CERRITO,El Cerrito,http://www.ci.el-cerrito.ca.us,1250
City,CITY OF EL MONTE,El Monte,http://www.elmonte.org,1251
City,CITY OF EL PASO DE ROBLES,El Paso De Robles,http://www.prcity.org,1252
City,CITY OF EL SEGUNDO,El Segundo,http://www.elsegundo.org,1253
City,CITY OF ELK GROVE,Elk Grove,http://www.elkgrovecity.org/,1254
City,CITY OF EMERYVILLE,Emeryville,http://www.ci.emeryville.ca.us,1255
City,CITY OF ENCINITAS,Encinitas,http://www.ci.encinitas.ca.us,1256
City,CITY OF ESCALON,Escalon,http://cityofescalon.org/,1257
City,CITY OF ESCONDIDO,Escondido,http://www.ci.escondido.ca.us,1258
City,CITY OF ETNA,Etna,http://www.cityofetna.org/city/,1259
City,CITY OF EUREKA,Eureka,http://www.eurekawebs.com/cityhall/,1260
City,CITY OF EXETER,Exeter,http://www.cityofexeter.com/,1261
City,CITY OF FAIRFIELD,Fairfield,http://www.fairfield.ca.gov/,1263
City,CITY OF FARMERSVILLE,Farmersville,https://www.facebook.com/farmersville.ca,1264
City,CITY OF FERNDALE,Ferndale,http://ferndale-ca-gov.org,1265
City,CITY OF FILLMORE,Fillmore,http://www.fillmoreca.com/,1266
City,CITY OF FIREBAUGH,Firebaugh,http://www.ci.firebaugh.ca.us/,1267
City,CITY OF FOLSOM,Folsom,http://ci.folsom.ca.us,1268
City,CITY OF FONTANA,Fontana,http://www.fontana.org,1269
City,CITY OF FORT BRAGG,Fort Bragg,http://ci.fort-bragg.ca.us/,1270
City,CITY OF FORT JONES,Fort Jones,,1271
City,CITY OF FORTUNA,Fortuna,http://www.sunnyfortuna.com,1272
City,CITY OF FOSTER CITY,Foster City,http://www.fostercity.org/,1273
City,CITY OF FOUNTAIN VALLEY,Fountain Valley,http://www.fountainvalley.org,1274
City,CITY OF FOWLER,Fowler,http://www.fowlercity.org/,1275
City,CITY OF FREMONT,Fremont,http://www.ci.fremont.ca.us,1276
City,CITY OF FRESNO,Fresno,http://www.ci.fresno.ca.us,1277
City,CITY OF FULLERTON,Fullerton,http://www.ci.fullerton.ca.us,1278
City,CITY OF GALT,Galt,http://www.ci.galt.ca.us,1279
City,CITY OF GARDEN GROVE,Garden Grove,http://www.ci.garden-grove.ca.us,1280
City,CITY OF GARDENA,Gardena,http://www.ci.gardena.ca.us/,1281
City,CITY OF GILROY,Gilroy,http://www.ci.gilroy.ca.us,1282
City,CITY OF GLENDALE,Glendale,http://www.ci.glendale.ca.us,1283
City,CITY OF GLENDORA,Glendora,http://www.ci.glendora.ca.us/,1284
City,CITY OF GOLETA,Goleta,http://www.cityofgoleta.org/,8636
City,CITY OF GONZALES,Gonzales,http://www.gonzales-ca.com,1285
City,CITY OF GRAND TERRACE,Grand Terrace,http://www.cityofgrandterrace.org/,1286
City,CITY OF GRASS VALLEY,Grass Valley,http://www.cityof.grass-valley.ca.us,1287
City,CITY OF GREENFIELD,Greenfield,http://ci.greenfield.ca.us/,1288
City,CITY OF GRIDLEY,Gridley,http://www.gridley.ca.us/,1289
City,CITY OF GROVER BEACH,Grover Beach,http://www.grover.org,1290
City,CITY OF GUADALUPE,Guadalupe,http://www.ci.guadalupe.ca.us/,1291
City,CITY OF GUSTINE,Gustine,http://www.cityofgustine.com/,1292
City,CITY OF HALF MOON BAY,Half Moon Bay,http://www.half-moon-bay.ca.us/,1293
City,CITY OF HANFORD,Hanford,http://www.ci.hanford.ca.us,1294
City,CITY OF HAWAIIAN GARDENS,Hawaiian Gardens,http://hgcity.org/,1295
City,CITY OF HAWTHORNE,Hawthorne,http://www.cityofhawthorne.com/,1296
City,CITY OF HAYWARD,Hayward,http://www.ci.hayward.ca.us/,1297
City,CITY OF HEALDSBURG,Healdsburg,http://www.ci.healdsburg.ca.us,1298
City,CITY OF HEMET,Hemet,http://www.cityofhemet.org/,1299
City,CITY OF HERCULES,Hercules,http://www.ci.hercules.ca.us,1300
City,CITY OF HERMOSA BEACH,Hermosa Beach,http://hermosabch.org,1301
City,CITY OF HESPERIA,Hesperia,http://ci.hesperia.ca.us,1302
City,CITY OF HIDDEN HILLS,Hidden Hills,http://www.hiddenhillscity.org,1303
City,CITY OF HIGHLAND,Highland,http://www.ci.highland.ca.us,1304
City,CITY OF HOLLISTER,Hollister,http://hollister.ca.gov/,1306
City,CITY OF HOLTVILLE,Holtville,http://www.holtville.ca.gov/,1307
City,CITY OF HUGHSON,Hughson,http://www.hughson.org,1308
City,CITY OF HUNTINGTON BEACH,Huntington Beach,http://www.ci.huntington-beach.ca.us/,1309
City,CITY OF HUNTINGTON PARK,Huntington Park,http://www.huntingtonpark.org/,1310
City,CITY OF HURON,Huron,http://www.webconnections.net/huron/,1311
City,CITY OF IMPERIAL,Imperial,http://www.cityofimperial.org/,1312
City,CITY OF IMPERIAL BEACH,Imperial Beach,http://www.ci.imperial-beach.ca.us,1313
City,CITY OF INDIAN WELLS,Indian Wells,http://www.indianwells.org/,1314
City,CITY OF INDIO,Indio,http://www.indio.org,1315
City,CITY OF INDUSTRY,Industry,http://www.cityofindustry.org,1316
City,CITY OF INGLEWOOD,Inglewood,http://www.cityofinglewood.org/,1317
City,CITY OF IONE,Ione,http://www.ione-ca.com/,1318
City,CITY OF IRVINE,Irvine,http://www.ci.irvine.ca.us,1319
City,CITY OF IRWINDALE,Irwindale,http://www.ci.irwindale.ca.us/,1320
City,CITY OF ISLETON,Isleton,,1321
City,CITY OF JACKSON,Jackson,http://ci.jackson.ca.us,1322
City,CITY OF JURUPA VALLEY,Jurupa Valley,http://www.jurupavalley.org/,11163
City,CITY OF KERMAN,Kerman,http://cityofkerman.net/,1323
City,CITY OF KING,King,http://www.kingcity.com,1324
City,CITY OF KINGSBURG,Kingsburg,http://cityofkingsburg-ca.gov/,1325
City,CITY OF LA CANADA FLINTRIDGE,La Canada Flintridge,http://www.lacanadaflintridge.com,1326
City,CITY OF LA HABRA,La Habra,http://www.ci.la-habra.ca.us,1327
City,CITY OF LA HABRA HEIGHTS,La Habra Heights,http://www.la-habra-heights.org/,1328
City,CITY OF LA MESA,La Mesa,http://www.cityoflamesa.org,1329
City,CITY OF LA MIRADA,La Mirada,http://www.cityoflamirada.org/,1330
City,CITY OF LA PALMA,La Palma,http://www.cityoflapalma.org,1331
City,CITY OF LA PUENTE,La Puente,http://www.lapuente.org,1332
City,CITY OF LA QUINTA,La Quinta,http://www.la-quinta.org,1333
City,CITY OF LA VERNE,La Verne,http://www.ci.la-verne.ca.us//,1334
City,CITY OF LAFAYETTE,Lafayette,http://www.cityoflafayette.com/,1335
City,CITY OF LAGUNA BEACH,Laguna Beach,http://www.lagunabeachcity.net/,1336
City,CITY OF LAGUNA HILLS,Laguna Hills,http://www.ci.laguna-hills.ca.us,1337
City,CITY OF LAGUNA NIGUEL,Laguna Niguel,http://www.ci.laguna-niguel.ca.us,1338
City,CITY OF LAGUNA WOODS,Laguna Woods,http://www.lagunawoodscity.org/,1339
City,CITY OF LAKE ELSINORE,Lake Elsinore,http://www.lake-elsinore.org/,1340
City,CITY OF LAKE FOREST,Lake Forest,http://www.city-lakeforest.com,1341
City,CITY OF LAKEPORT,Lakeport,http://www.cityoflakeport.com/,1342
City,CITY OF LAKEWOOD,Lakewood,http://www.lakewoodcity.org,1343
City,CITY OF LANCASTER,Lancaster,http://www.cityoflancasterca.org/,1344
City,CITY OF LARKSPUR,Larkspur,http://www.ci.larkspur.ca.us,1345
City,CITY OF LATHROP,Lathrop,http://www.ci.lathrop.ca.us,1346
City,CITY OF LAWNDALE,Lawndale,http://www.lawndalecity.org/,1347
City,CITY OF LEMON GROVE,Lemon Grove,http://www.ci.lemon-grove.ca.us,1348
City,CITY OF LEMOORE,Lemoore,http://www.lemoore.com,1349
City,CITY OF LINCOLN,Lincoln,http://www.ci.lincoln.ca.us,1350
City,CITY OF LINDSAY,Lindsay,http://www.lindsay.ca.us/,1351
City,CITY OF LIVE OAK,Live Oak,http://www.liveoakcity.org/,1352
City,CITY OF LIVERMORE,Livermore,http://www.ci.livermore.ca.us,1353
City,CITY OF LIVINGSTON,Livingston,http://www.livingstoncity.com/,1354
City,CITY OF LODI,Lodi,http://www.lodi.gov,1355
City,CITY OF LOMA LINDA,Loma Linda,http://www.ci.loma-linda.ca.us/,1356
City,CITY OF LOMITA,Lomita,http://lomita.com,1357
City,CITY OF LOMPOC,Lompoc,http://www.ci.lompoc.ca.us,1358
City,CITY OF LONG BEACH,Long Beach,http://www.ci.long-beach.ca.us,1359
City,CITY OF LOS ALAMITOS,Los Alamitos,http://www.ci.los-alamitos.ca.us,1361
City,CITY OF LOS ALTOS,Los Altos,http://www.ci.los-altos.ca.us,1362
City,CITY OF LOS ANGELES,Los Angeles,http://www.lacity.org,1364
City,CITY OF LOS BANOS,Los Banos,http://losbanos.org,1365
City,CITY OF LOYALTON,Loyalton,http://www.cityofloyalton.com/,1367
City,CITY OF LYNWOOD,Lynwood,http://www.lynwood.ca.us/,1368
City,CITY OF MADERA,Madera,http://www.cityofmadera.org/,1369
City,CITY OF MALIBU,Malibu,http://www.ci.malibu.ca.us,1370
City,CITY OF MANHATTAN BEACH,Manhattan Beach,http://www.ci.manhattan-beach.ca.us,1372
City,CITY OF MANTECA,Manteca,http://www.ci.manteca.ca.us,1373
City,CITY OF MARICOPA,Maricopa,http://www.cityofmaricopa.org/,1374
City,CITY OF MARINA,Marina,http://www.ci.marina.ca.us,1375
City,CITY OF MARTINEZ,Martinez,http://www.cityofmartinez.org,1376
City,CITY OF MARYSVILLE,Marysville,http://www.marysville.ca.us/,1377
City,CITY OF MAYWOOD,Maywood,http://www.cityofmaywood.com,1378
City,CITY OF MCFARLAND,Mcfarland,http://www.mcfarlandcity.org/,1379
City,CITY OF MENDOTA,Mendota,http://ci.mendota.ca.us/,1380
City,CITY OF MENIFEE,Menifee,https://www.cityofmenifee.us/,10255
City,CITY OF MENLO PARK,Menlo Park,http://www.ci.menlo-park.ca.us,1381
